fips,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
51800,,,,,,,,65.58962264150944,66.19811320754717,43.39473684210526,61.394067796610166,62.042735042735046,57.51260504201681,70.84937238493724,55.53556485355649,58.78151260504202,49.64435146443515,65.90794979079497,66.96069868995633,67.0,62.52336448598131,59.85981308411215,64.76635514018692,55.16509433962264,50.13084112149533,55.36915887850467,56.2803738317757,57.453271028037385,54.58878504672897,41.19626168224299,54.08411214953271,49.18867924528302,44.26168224299065,39.45794392523364,41.453271028037385,41.45794392523364,39.38317757009346,39.42040816326531,38.31428571428572,40.91428571428571,34.807377049180324,37.689795918367345,35.32258064516129
51810,49.89041095890411,47.98626373626374,46.42307692307692,55.52209944751381,48.25136612021858,49.76986301369863,50.25753424657534,37.202739726027396,34.07103825136612,33.15151515151515,,,,,,,,,,49.619565217391305,48.51724137931034,47.5,46.67256637168141,46.666666666666664,46.348837209302324,46.02857142857143,47.55722891566265,42.49152542372882,42.729651162790695,36.46551724137931,37.35890410958904,37.53868194842407,33.13623188405797,31.515406162464988,32.67403314917127,31.514204545454547,27.81286549707602,27.467811158798284,27.514018691588785,27.8,25.522935779816514,20.977048465138417,24.321428571428573
51840,,,,,,,,,,28.68421052631579,23.883333333333333,25.583333333333332,21.016393442622952,22.21311475409836,20.4,20.728813559322035,22.0327868852459,21.220338983050848,21.0,20.440677966101696,18.54237288135593,17.43859649122807,16.775862068965516,16.934426229508198,16.42622950819672,19.483333333333334,17.016393442622952,18.883333333333333,16.704918032786885,15.280701754385966,14.433333333333334,12.483333333333333,15.0,9.105263157894736,8.868852459016393,11.322033898305085,10.694915254237289,10.372881355932204,9.233333333333333,8.789473684210526,7.258620689655173,,
53001,,,,,,,,,,,,,,30.785714285714285,23.517857142857142,16.0,,,,,43.54545454545455,26.910714285714285,29.918032786885245,27.068493150684933,27.879781420765028,23.736986301369864,25.484931506849314,25.356164383561644,25.791666666666668,22.75890410958904,20.517857142857142,21.140495867768596,20.281420765027324,18.055555555555557,18.35549132947977,26.536516853932586,15.540462427745664,21.560224089635856,22.045714285714286,16.461111111111112,19.714285714285715,20.013736263736263,15.290322580645162
53003,,,,,,46.8,40.92307692307692,,35.395348837209305,28.804878048780488,29.70909090909091,32.857142857142854,27.016666666666666,30.57377049180328,32.51724137931034,27.74137931034483,28.571428571428573,32.05555555555556,26.285714285714285,28.303571428571427,24.93220338983051,24.436363636363637,24.05,24.533333333333335,22.4,24.339285714285715,22.425925925925927,38.02931596091205,34.46518105849582,33.37921348314607,28.813370473537603,24.717451523545705,37.09065934065934,35.3250773993808,29.90344827586207,31.98876404494382,28.795580110497237,38.804034582132566,34.13846153846154,32.226890756302524,37.285714285714285,44.54626865671642,36.86206896551724
53005,,,,,,33.513513513513516,24.87719298245614,24.384615384615383,30.493506493506494,25.481927710843372,34.16129032258065,35.580071174377224,23.332307692307694,28.524539877300615,20.723809523809525,16.472843450479232,18.981538461538463,18.303514376996805,16.451851851851853,22.13975155279503,25.610119047619047,27.65988372093023,26.368715083798882,31.4985835694051,32.64985994397759,33.75487465181058,33.83835616438356,28.07123287671233,31.778688524590162,28.49171270718232,24.295890410958904,25.710743801652892,27.417582417582416,29.607734806629836,23.816091954022987,36.425414364640886,31.46448087431694,38.93424657534246,36.46849315068493,36.53846153846154,40.28493150684932,34.83287671232877,33.516129032258064
53007,,,,,,,31.86111111111111,31.757575757575758,22.761904761904763,19.625,19.0,20.208333333333332,19.272727272727273,22.791666666666668,25.857142857142858,22.0,22.235294117647058,24.71232876712329,21.72222222222222,15.622222222222222,20.2,20.122222222222224,18.842105263157894,16.4390243902439,40.60655737704918,36.17191977077364,39.153424657534245,36.868493150684934,38.80874316939891,33.446575342465756,30.002739726027396,34.647382920110196,42.10928961748634,33.446575342465756,32.812154696132595,31.861878453038674,25.5327868852459,39.46027397260274,40.95616438356164,29.898630136986302,32.967213114754095,28.945205479452056,40.61290322580645
53009,,,,,,,,24.08298755186722,18.397727272727273,19.897350993377483,23.18258426966292,23.327683615819208,22.73049645390071,21.726744186046513,23.341538461538462,24.78753541076487,24.565459610027855,23.263768115942028,23.95,25.345403899721447,26.978395061728396,26.497191011235955,28.96153846153846,37.273972602739725,35.330601092896174,37.657534246575345,42.83516483516483,39.1267217630854,41.740437158469945,39.252747252747255,35.81643835616438,38.56438356164384,38.385245901639344,35.61917808219178,37.30958904109589,38.17857142857143,36.31147540983606,40.76712328767123,40.44931506849315,34.95342465753425,37.10655737704918,17.81046652950953,21.457706093189962
53011,35.47945205479452,37.25895316804408,38.320547945205476,33.55068493150685,29.53314917127072,32.54596100278552,31.215827338129497,37.12893081761006,38.65,38.85195530726257,39.13239436619718,42.05070422535211,34.10084033613445,34.903047091412745,36.16804407713499,35.983561643835614,37.775956284153004,36.14794520547945,32.917808219178085,32.8,35.89890710382514,38.89041095890411,38.85950413223141,39.69041095890411,35.48087431693989,34.8054794520548,35.28650137741047,40.10989010989011,37.92896174863388,42.46027397260274,29.783561643835615,39.07397260273972,35.060109289617486,40.964383561643835,36.18082191780822,37.258720930232556,30.002732240437158,38.082191780821915,34.345205479452055,34.08791208791209,36.08743169398907,28.385054903289447,35.03225806451613
53013,,,,,,,,,,,,,,,,,,,,,,,,30.740384615384617,28.506887052341597,24.144886363636363,27.02191780821918,23.83013698630137,23.05464480874317,22.008310249307478,20.852054794520548,21.385674931129476,22.511627906976745,24.955882352941178,19.68299711815562,17.417127071823206,17.2125748502994,28.81081081081081,24.042345276872965,21.386301369863013,24.471232876712328,41.54520547945206,32.847457627118644
53015,,,,,,,32.94565217391305,31.045454545454547,28.97826086956522,26.831932773109244,23.5,24.283333333333335,22.083333333333332,22.983606557377048,20.70967741935484,20.508196721311474,22.1010101010101,31.855371900826448,31.89669421487603,28.154255319148938,19.049180327868854,29.37704918032787,37.130434782608695,28.541284403669724,28.028985507246375,23.92258064516129,21.714285714285715,23.577380952380953,23.182825484764543,23.942528735632184,18.78846153846154,19.40220385674931,22.683760683760685,26.997260273972604,24.278637770897834,24.204419889502763,20.887052341597798,24.457534246575342,24.572602739726026,22.519444444444446,23.491803278688526,17.323287671232876,23.516129032258064
53021,,,,,,,,,,,,,,,,,,,,,,,,24.555873925501434,26.05191256830601,22.75890410958904,23.894586894586894,25.079889807162534,25.579234972677597,24.663013698630138,23.36986301369863,22.00275482093664,23.181058495821727,27.726726726726728,21.813504823151124,25.891364902506965,15.94277108433735,28.16012084592145,24.31388888888889,20.51051051051051,21.25297619047619,18.503125,18.806451612903224
53023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.382513661202186,21.35989010989011,19.87150837988827,21.859701492537315,24.062874251497007,21.8
